type,domaine,theme,sujet
"Sujet de préparation","INFO","SI et environnement","Green Storage : Enjeux et Facteurs clés de succès"
"Sujet de préparation","INFO","SI et environnement","Consommation énergétique des équipements informatiques en milieu professionnel : comment le gérer ? que proposez-vous ?"
"Sujet de préparation","INFO","SI et environnement","Quelles méthodes pour une optimisation énergétique des datacenters ?"
"Sujet de préparation","INFO","SI et environnement","Comment la sobriété numérique peut-elle aider les SI à réduire leurs impacts environnementaux ?"
"Sujet de préparation","INFO","SI et environnement","Est-il possible de rendre son système d'information éco-responsable ?"
"Sujet de préparation","INFO","Cybersecurité","Cybersécurité et IA, l'avenir d'un SI résilient"
"Sujet de préparation","INFO","Cybersecurité","PME, les grands oubliés de la Cybersécurité"
"Sujet de préparation","INFO","Cybersecurité","La Cybersécurité, l'humain reste la clé du problème"
"Sujet de préparation","INFO","Cybersecurité","Sous-traiter le SOC, la solution des structures de taille moyenne…"
"Sujet de préparation","INFO","Cybersecurité","IA, un passage obligé pour le traitement des menaces"
"Sujet de préparation","INFO","Cybersecurité","Monter son SOC est-il une bonne réponse aux risques Cyber ?"
"Sujet de préparation","INFO","Cybersecurité","Géopolitique et cybersécurité des grandes entreprises françaises : analyse des risques et stratégies d'adaptation"
"Sujet de préparation","INFO","Cybersecurité","Cybersécurité : comment impliquer les utilisateurs ?"
"Sujet de préparation","INFO","Cloud et virtualisation","Cloud, la solution pour réduire sa facture IT"
"Sujet de préparation","INFO","Cloud et virtualisation","Cloud Souverain, une garantie pour mes données hébergées"
"Sujet de préparation","INFO","Cloud et virtualisation","Cloud et Sécurité, qui est responsable ?"
"Sujet de préparation","INFO","Cloud et virtualisation","Migration dans le Cloud: Des blocages existent encore…"
"Sujet de préparation","INFO","Cloud et virtualisation","La conteneurisation et la virtualisation : enjeux, avantages, limites ?"
"Sujet de préparation","INFO","Cloud et virtualisation","La migration Cloud n'est pas viable, vive le Cloud Native."
"Sujet de préparation","INFO","Cloud et virtualisation","Le Cloud : la réponse aux problèmes de sécurité des données"
"Sujet de préparation","INFO","Big Data","Big Data, une masse d'opportunité mais une masse de risques…"
"Sujet de préparation","INFO","Big Data","Big Data, des outils inadaptés aux petites entreprises"
"Sujet de préparation","INFO","Big Data","Big Data et IA : un réel enjeu business"
"Sujet de préparation","INFO","Big Data","Data Analytics ou comment donner de la valeur aux données..."
"Sujet de préparation","INFO","Big Data","Big Data, surveillance et confiance"
"Sujet de préparation","INFO","Big Data","Big Data et législation"
"Sujet de préparation","INFO","Big Data","La gestion des données dans un SI (quantification de la volumétrie, sauvegardes etc.)"
"Sujet de préparation","INFO","Développement","ISO/CEI 25010, cette norme est nécessaire et suffisante pour garantir la qualité logicielle ?"
"Sujet de préparation","INFO","Développement","Le déploiement continu  : valeur ajoutée/retour sur investissement ?"
"Sujet de préparation","INFO","Développement","Apprentissage automatique et automatisation de tests de logiciels"
